Type,Text,C3,C4,C5
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",,,
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm",,,
spam,CDs 4u: Congratulations ur awarded �500 of CD gift vouchers or �125 gift guaranteed & Freeentry 2 �100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,,,
ham,"So check your errors and if you had difficulties, do correction.",,,
ham,Heehee that was so funny tho,,,
ham,K..k.:)congratulation ..,,,
spam,Ur balance is now �500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,,,
ham,Kallis wont bat in 2nd innings.,,,
ham,Aight well keep me informed,,,
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,,,
ham,Tell them the drug dealer's getting impatient,,,
ham,The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,,,
ham,No:-)i got rumour that you going to buy apartment in chennai:-),,,
ham,In that case I guess I'll see you at campus lodge,,,
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,,,
ham,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,,,
ham,Ok. Very good. Its all about making that money.,,,
ham,Ok... The theory test? when are �_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
ham,Hey mr whats the name of that bill brison book the one about language and words ,,,
ham,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,,,
ham,WHAT TIME U WRKIN?,,,
ham,As in different styles?,,,
ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...,,,
ham,"Yep, at derek's house now, see you Sunday &lt;3",,,
ham,Yupz... I've oredi booked slots 4 my weekends liao... ,,,
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,,
ham,Are you wet right now?,,,
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,,,
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
ham,"K, if u bored up just come to my home..",,,
ham,Ok.. �� finishing soon?,,,
ham,"Good stuff, will do.",,,
ham,Wot about on wed nite I am 3 then but only til 9!,,,
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
ham,Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,"* Was really good to see you the other day dudette, been missing you!",,,
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,,,
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
ham,"And how you will do that, princess? :)",,,
ham,Total video converter free download type this in google search:),,,
ham,Lol alright i was thinkin that too haha,,,
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,,,
ham,Ok..,,,
ham,Did you get any gift? This year i didnt get anything. So bad,,,
ham,They r giving a second chance to rahul dengra.,,,
spam,U are subscribed to the best Mobile Content Service in the UK for �3 per 10 days until you send STOP to 82324. Helpline 08706091795,,,
ham,"sorry brah, just finished the last of my exams, what up",,,
spam,"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",,,
ham,"I can. But it will tell quite long, cos i haven't finish my film yet...",,,
ham,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),,,
ham,No chikku nt yet.. Ya i'm free,,,
ham,U reach orchard already? U wan 2 go buy tickets first?,,,
ham,DO U WANT 2 MEET UP 2MORRO,,,
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",,,
ham,In fact when do you leave? I think addie goes back to school tues or wed,,,
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",,,
ham,I'm at work. Please call,,,
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,,,
ham,Can't take any major roles in community outreach. You rock mel,,,
ham,Really dun bluff me leh... U sleep early too. Nite...,,,
ham,None of that's happening til you get here though,,,
spam,WINNER! As a valued network customer you hvae been selected to receive a �900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,"That's fine, have him give me a call if he knows what he wants or has any questions",,,
spam,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.,,,
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
ham,With my sis lor... We juz watched italian job.,,,
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
ham,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,,,
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,,,
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),,,
ham,I donno if they are scorable,,,
ham,"Cool, want me to go to kappa or should I meet you outside mu",,,
ham,Oh ok wait 4 me there... My lect havent finish,,,
ham,Did either of you have any idea's? Do you know of anyplaces doing something?,,,
ham,They said �_ dun haf passport or smth like dat.. Or �_ juz send to my email account..  ,,,
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
ham,What happen dear tell me,,,
ham,Ok how you dear. Did you call chechi,,,
ham,"Omw back to tampa from west palm, you hear what happened?",,,
ham,Went to ganesh dress shop,,,
ham,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",,,
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry ��_ Head * ok but throat * wrecked. See you at six then!",,,
ham,Ok... Sweet dreams...,,,
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,,,
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,,,
ham,Mm yes dear look how i am hugging you both. :-P,,,
ham,It only does simple arithmetic not percentages.,,,
ham,That's one of the issues but california is okay. No snow so its manageable,,,
ham,Your daily text from me ��� a favour this time,,,
ham,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",,,
ham,I can��t wait for cornwall. Hope tonight isn��t too bad as well but it��s rock night shite. Anyway i��m going for a kip now have a good night. Speak to you soon.,,,
ham,dont make ne plans for nxt wknd coz she wants us to come down then ok,,,
ham,K..k...from tomorrow onwards started ah?,,,
ham,Ok. No wahala. Just remember that a friend in need ...,,,
ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)",,,
ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",,,
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,,,
ham,What Today-sunday..sunday is holiday..so no work..,,,
ham,"Mah b, I'll pick it up tomorrow",,,
ham,Get me out of this dump heap. My mom decided to come to lowes. BORING.,,,
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",,,
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,,,
ham,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
ham,"Oh fine, I'll be by tonight",,,
ham,Beauty sleep can help ur pimples too.,,,
ham,K da:)how many page you want?,,,
ham,Huh means computational science... Y they like dat one push here n there...,,,
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,,,
ham,I dont have i shall buy one dear,,,
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
ham,Where to get those?,,,
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,,,
ham,Yeah we do totes. When u wanna?,,,
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,,,
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,,,
ham,I am great princess! What are you thinking about me? :),,,
ham,soon you will have the real thing princess! Do i make you wet? :),,,
ham,"It's that time of the week again, ryan",,,
ham,"Its ok chikku, and its my 1 of favourite song..:-)",,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,,,
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
ham,Babe ? I lost you ... Will you try rebooting ?,,,
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,,,
ham,Might ax well im there.,,,
ham,Tell where you reached,,,
ham,"Easy mate, * guess the quick drink was bit ambitious.",,,
ham,K.:)you are the only girl waiting in reception ah?,,,
ham,You need to get up. Now.,,,
ham,Call me when u finish then i come n pick u.,,,
spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,,,
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",,,
ham,Mm so you asked me not to call radio,,,
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",,,
ham,I���ll have a look at the frying pan in case it���s cheap or a book perhaps. No that���s silly a frying pan isn���t likely to be a book,,,
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
ham,Hi msg me:)i'm in office..,,,
ham,I'm wif him now buying tix lar...,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",,,
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",,,
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu,,,
ham,Yes.he have good crickiting mind,,,
ham,Goin to workout lor... Muz lose e fats... ,,,
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",,,
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or �5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,,,
ham,"Best line said in Love: . \I will wait till the day I can forget u Or The day u realize that u cannot forget me.\""... Gn""",,,
ham,I wish u were here. I feel so alone,,,
ham,I will see in half an hour,,,
spam,This is the 2nd time we have tried to contact u. U have won the �1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,,,
ham,U guys never invite me anywhere :(,,,
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,,,
ham,Ya it came a while ago,,,
ham,K.k.how is your business now?,,,
ham,U having lunch alone? I now so bored...,,,
ham,"Kate jackson rec center before 7ish, right?",,,
ham,You are a very very very very bad girl. Or lady.,,,
ham,So when do you wanna gym harri,,,
ham,Many more happy returns of the day. I wish you happy birthday.,,,
ham,"Nothing really, just making sure everybody's up to speed",,,
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,,,
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,,,
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",,,
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,,,
ham,I havent lei.. Next mon can?,,,
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,,,
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,,,
ham,Also remember to get dobby's bowl from your car,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply.",,,
spam,Filthy stories and GIRLS waiting for your,,,
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,,,
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,,,
ham,Must come later.. I normally bathe him in da afternoon mah..,,,
