Type,Text,C3,C4,C5
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,,,
ham,Just come home. I don't want u to be miserable,,,
ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.,,,
ham,Ok anyway no need to change with what you said,,,
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,,,
ham,Olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. Hopefully they dont ignore that.,,,
ham,I dont. Can you send it to me. Plus how's mode.,,,
ham,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM,,,
spam,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a �250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop�1.50/week,,,
ham,After the drug she will be able to eat.,,,
ham,"Haha awesome, omw back now then",,,
ham,Do you know when the result.,,,
ham,Otherwise had part time job na-tuition..,,,
ham,Yes but I don't care cause I know its there!,,,
spam,u r a winner U ave been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),,,
ham,Eh u send wrongly lar...,,,
ham,At home by the way,,,
ham,Sorry me going home first... Daddy come fetch �_ later...,,,
ham,Shall i ask one thing if you dont mistake me.,,,
ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,,,
ham,Ok... Thanx... Gd nite 2 �_ too...,,,
ham,K k:) sms chat with me.,,,
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,,,
ham,Quite late lar... Ard 12 anyway i wun b drivin...,,,
ham,You should get more chicken broth if you want ramen unless there's some I don't know about,,,
ham,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,,,
ham,K then 2marrow are you coming to class.,,,
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,,,
ham,Hey leave it. not a big deal:-) take care.,,,
spam,You are a winner you have been specially selected to receive �1000 cash or a �2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,,,
ham,If i said anything wrong sorry de:-),,,
ham,That sucks. I'll go over so u can do my hair. You'll do it free right?,,,
spam,"You can stop further club tones by replying \STOP MIX\"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL"," PO Box 1146 MK45 2WT (2/3)""",,
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,
ham,Have you bookedthe hut? And also your time off? How are you by the way?,,,
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.,,,
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?,,,
ham,I will reach before ten morning,,,
ham,Then she dun believe wat?,,,
ham,K sure am in my relatives home. Sms me de. Pls:-),,,
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,,,
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,,,
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,,,
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,,,
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.",,,
ham,Lol they were mad at first but then they woke up and gave in.,,,
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,,,
ham,I tagged MY friends that you seemed to count as YOUR friends.,,,
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,,,
ham,He is there. You call and meet him,,,
ham,As in i want custom officer discount oh.,,,
ham,Captain is in our room:),,,
ham,Dear where you will be when i reach there,,,
ham,Going to join tomorrow.,,,
ham,"Princess, is your kitty shaved or natural?",,,
ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,,
ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",,,
spam,Todays Voda numbers ending 1225 are selected to receive a �50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
spam,tells u 2 call 09066358152 to claim �5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,,,
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,,,
ham,I went to ur hon lab but no one is there.,,,
ham,Please ask mummy to call father,,,
ham,You can never do NOTHING,,,
ham,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",,,
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",,,
ham,Ok..,,,
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
ham,R we still meeting 4 dinner tonight?,,,
ham,Oh k. . I will come tomorrow,,,
ham,Oh ok no prob..,,,
ham,No..he joined today itself.,,,
ham,Yes.he have good crickiting mind,,,
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,,,
ham,I'm in town now so i'll jus take mrt down later.,,,
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",,,
ham,Noice. Text me when you're here,,,
ham,I think its far more than that but find out. Check google maps for a place from your dorm.,,,
ham,"\CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUND��S LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.\""""",,,
ham,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",,,
ham,"Mostly sports type..lyk footbl,crckt..",,,
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,,,
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
ham,I was gonna ask you lol but i think its at 7,,,
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,,,
ham,Argh why the fuck is nobody in town ;_;,,,
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!",,,
ham,Nope... C �_ then...,,,
ham,Keep my payasam there if rinu brings,,,
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",,,
ham,I'm vivek:)i got call from your number.,,,
ham,Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...,,,
ham,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,,,
ham,Can you just come in for a sec? There's somebody here I want you to see,,,
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,,,
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
ham,Customer place i will call you.,,,
ham,I wait 4 �_ inside da car park...,,,
ham,"Coffee cake, i guess...",,,
ham,Love it! I want to flood that pretty pussy with cum...,,,
ham,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,,,
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,,,
ham,Where are you ? You said you would be here when I woke ... :-(,,,
ham,I've reached home n i bathe liao... U can call me now...,,,
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",,,
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
ham,Wat time r �_ going to xin's hostel?,,,
ham,"Hi Chikku, send some nice msgs",,,
spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",,,
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save �s with Free texts/weekend calls. Text YES for a callback orno to opt out,,,
ham,"Kate jackson rec center before 7ish, right?",,,
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",,,
ham,Well i will watch shrek in 3D!!B),,,
ham,Pls dont restrict her from eating anythin she likes for the next two days.,,,
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,,,
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,,,
spam,FROM 88066 LOST �12 HELP,,,
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,,,
ham,U still havent got urself a jacket ah?,,,
ham,Will you come online today night,,,
ham,Cuz ibored. And don wanna study,,,
ham,Bognor it is! Should be splendid at this time of year.,,,
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,,,
ham,Lol where do u come up with these ideas?,,,
ham,If you r @ home then come down within 5 min,,,
spam,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
ham,Sounds great! Are you home now?,,,
ham,Is there any training tomorrow?,,,
ham,I'm fine. Hope you are also,,,
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,,,
ham,Hmm thinking lor...,,,
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
ham,I pocked you up there before,,,
ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you,,,
ham,Yo dude guess who just got arrested the other day,,,
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",,,
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,,,
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.,,,
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,,,
ham,"Easy mate, * guess the quick drink was bit ambitious.",,,
ham,That's necessarily respectful,,,
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins",,,
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",,,
ham,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",,,
ham,"Hmm well, night night ",,,
ham,But that's on ebay it might be less elsewhere.,,,
ham,Pls i wont belive god.not only jesus.,,,
ham,Ok i shall talk to him,,,
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,,,
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
ham,Aiyah e rain like quite big leh. If drizzling i can at least run home.,,,
spam,Valentines Day Special! Win over �1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,,,
ham,ILL B DOWN SOON,,,
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?",,,
spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",,,
ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!",,,
ham,It vl bcum more difficult..,,,
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",,,
ham,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,,,
ham,I need to come home and give you some good lovin...,,,
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",,,
ham,"Just dropped em off, omw back now",,,
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,,,
ham,1's reach home call me.,,,
ham,If he started searching he will get job in few days.he have great potential and talent.,,,
ham,U call me alter at 11 ok.,,,
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7,,,
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,,,
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,,,
ham,I love u 2 my little pocy bell I am sorry but I love u,,,
ham,So that takes away some money worries,,,
ham,Oops my phone died and I didn't even know. Yeah I like it better.,,,
spam,83039 62735=�450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,,,
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,,,
ham,How are you. Its been ages. How's abj,,,
ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !",,,
ham,"\Thinking of u ;) x\""""",,,
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,,,
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,,,
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,,,
ham,"That's what I love to hear :V see you sundayish, then",,,
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,,,
ham,"Yeah I should be able to, I'll text you when I'm ready to meet up",,,
ham,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,,,
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,,,
ham,In sch but neva mind u eat 1st lor..,,,
ham,Well then you have a great weekend!,,,
ham,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",,,
ham,Maybe i could get book out tomo then return it immediately ..? Or something.,,,
ham,Gudnite....tc...practice going on,,,
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls�1/minMobsmore LKPOBOX177HP51FL,,,
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
ham,Oh god i am happy to see your message after 3 days,,,
ham,\SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY," ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...\""""",
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
ham,Happy New Year Princess!,,,
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
ham,Jus finish bathing...,,,
ham,"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",,,
ham,"I can't right this second, gotta hit people up first",,,
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,,,
ham,What time you coming down later? ,,,
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",,,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,,,
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,,,
ham,"Probably not, I'm almost out of gas and I get some cash tomorrow",,,
ham,Hasn't that been the pattern recently crap weekends?,,,
ham,Why you keeping me away like this,,,
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,,,
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",,,
ham,"I'm in a meeting, call me later at",,,
ham,Ya but it cant display internal subs so i gotta extract them,,,
ham,Pandy joined 4w technologies today.he got job..,,,
ham,Otherwise had part time job na-tuition..,,,
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,,,
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.",,,
ham,Oh ok..,,,
ham,"Sorry, I'll call later",,,
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,,,
ham,I���ll have a look at the frying pan in case it���s cheap or a book perhaps. No that���s silly a frying pan isn���t likely to be a book,,,
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",,,
ham,"There'll be a minor shindig at my place later tonight, you interested?",,,
ham,Hows that watch resizing,,,
ham,I have no idea where you are,,,
ham,It means u could not keep ur words.,,,
ham,Am watching house ��� very entertaining ��� am getting the whole hugh laurie thing ��� even with the stick ��� indeed especially with the stick.,,,
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,,,
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
ham,Chk in ur belovd ms dict,,,
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,,,
ham,"sorry brah, just finished the last of my exams, what up",,,
ham,Am also doing in cbe only. But have to pay.,,,
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,,,
ham,"Not much, just some textin'. How bout you?",,,
ham,Bring home some Wendy =D,,,
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",,,
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,,,
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,,,
ham,Remember to ask alex about his pizza,,,
ham,Roger that. We���re probably going to rem in about 20,,,
ham,I gotta collect da car at 6 lei.,,,
ham,Wish u many many returns of the day.. Happy birthday vikky..,,,
ham,No message..no responce..what happend?,,,
ham,Boo. How's things? I'm back at home and a little bored already :-(,,,
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or �10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",,,
ham,How long does it take to get it.,,,
spam,Win a �1000 cash prize or a prize worth �5000,,,
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",,,
ham,Shall i send that exe to your mail id.,,,
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
ham,"Hi elaine, is today's meeting confirmed?",,,
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",,,
ham,Do you hide anythiing or keeping distance from me,,,
ham,Lol. Well quality aint bad at all so i aint complaining,,,
ham,Ok.ok ok..then..whats ur todays plan,,,
ham,I'm in chennai velachery:),,,
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,,,
ham,No. I.ll meet you in the library,,,
ham,Anything lar...,,,
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
ham,Oh sorry please its over,,,
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,,,
spam,Filthy stories and GIRLS waiting for your,,,
ham,"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",,,
ham,I'm on the bus. Love you,,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565,,,
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,,,
ham,Den wat will e schedule b lk on sun?,,,
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,,,
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.",,,
ham,Oh :-)only 4 outside players allowed to play know,,,
ham,YO YO YO BYATCH WHASSUP?,,,
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,,,
ham,Sorry i'm not free...,,,
ham,"Oh... Icic... K lor, den meet other day...",,,
ham,Pls speak with me. I wont ask anything other then you friendship.,,,
ham,Tired. I haven't slept well the past few nights.,,,
